"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","10.78","0.004916","2888","0","0","2899","2888","2888","C"
"0.001211","10.59","0.006263","1976","0","0","1987","1976","1984","C"
"0.001468","10.35","0.007939","1352","0","0","1362","1352","1352","C"
"0.001468","10.35","0.007939","1845","0","0","1855","1845","1901","C"
"0.0015","10.32","0.008149","3925","0","0","3935","3925","3892","C"
"0.001515","10.31","0.008242","4135","0","0","4145","4135","4098","C"
"0.001515","10.31","0.008242","4820","0","0","4830","4820","4773","C"
"0.001689","10.14","0.009353","4200","0","0","4210","4200","4395","C"
"0.001885","9.946","0.0106","3657","0","0","3667","3657","3627","C"
"0.001885","9.946","0.0106","4242","0","0","4252","4242","4206","C"
"0.002","9.828","0.01134","3675","0","0","3685","3675","3646","C"
"0.00209","9.735","0.01191","3317","0","0","3326","3317","3290","C"
"0.00209","9.735","0.01191","3524","0","0","3534","3524","3495","C"
"0.002196","9.627","0.01258","3148","0","0","3158","3148","3125","C"
"0.002307","9.514","0.01329","2813","0","0","2822","2813","2791","C"
"0.002307","9.514","0.01329","2936","0","0","2946","2936","2914","C"
"0.003","8.834","0.01768","1585","0","0","1594","1585","1576","C"
"0.004","7.867","0.02366","786.7","0","0","794.6","786.8","783.1","C"
"0.005","6.987","0.02919","449.9","0","0","456.9","449.9","448.2","C"
"0.006","6.217","0.03422","282.9","0","0","289.2","283","282","C"
"0.008","4.98","0.04296","134.6","0","0","139.7","134.7","134.2","C"
"0.008648","4.652","0.04545","109.9","0","0","114.6","109.9","109.6","C"
"0.008648","4.652","0.04545","294.5","0","0","299.1","294.5","260.6","C"
"0.00912","4.433","0.04719","256.3","0","0","260.8","256.4","228.4","C"
"0.009617","4.217","0.04898","223.2","0","0","227.4","223.2","200.1","C"
"0.009617","4.217","0.04898","305.9","0","0","310.2","305.9","264","C"
"0.01","4.06","0.05033","278.9","0","0","283.1","279","242","C"
"0.01012","4.014","0.05073","270.4","0","0","274.5","270.5","235.1","C"
"0.01012","4.014","0.05073","312.6","0","0","316.7","312.7","269.7","C"
"0.015","2.617","0.06499","113","0","0","115.7","113.1","102.3","C"
"0.02","1.855","0.076","52.58","0","0","54.51","52.66","48.82","C"
"0.03","1.095","0.09005","17.5","0","0","18.69","17.59","16.63","C"
"0.04","0.7169","0.0976","7.921","0","0","8.735","8.019","7.615","C"
"0.05","0.5069","0.1017","4.26","0","0","4.869","4.362","4.124","C"
"0.05939","0.3864","0.1038","2.632","0","0","3.122","2.736","2.562","C"
"0.05939","0.3864","0.1038","14.13","0","0","14.62","14.23","4.721","C"
"0.06","0.3804","0.1039","13.6","0","0","14.09","13.71","4.203","C"
"0.08","0.2386","0.1053","6.399","0","0","6.743","6.504","3.044","C"
"0.1","0.1631","0.1045","3.513","0","0","3.78","3.617","2.033","C"
"0.15","0.0796","0.09942","1.161","0","0","1.34","1.261","0.841","C"
"0.2","0.04738","0.09361","0.5272","0","0","0.6682","0.6208","0.4283","C"
"0.3","0.02242","0.08359","0.1762","0","0","0.2822","0.2598","0.1695","C"
"0.4","0.013","0.07586","0.08331","0","0","0.1722","0.1592","0.09522","C"
"0.5","0.008473","0.0698","0.0478","0","0","0.1261","0.1176","0.06544","C"
"0.6","0.005953","0.06488","0.03097","0","0","0.1018","0.09585","0.05081","C"
"0.8","0.003399","0.05729","0.01624","0","0","0.07693","0.07353","0.03721","C"
"1","0.002193","0.05165","0.01019","0","0","0.06404","0.06184","0.03095","C"
"1.022","0.002101","0.05112","0.009753","0","0","0.06297","0.06087","0.03049","I"
"1.25","0.001413","0.04627","0.006573","0.0002902","0","0.05455","0.05313","0.02658","C"
"1.5","0.0009846","0.0421","0.004691","0.001347","0","0.04912","0.04814","0.02417","C"
"2","0.0005561","0.03597","0.002843","0.004253","0","0.04362","0.04306","0.02214","C"
"2.044","0.0005322","0.03553","0.002742","0.00452","0","0.04332","0.04279","0.02213","I"
"3","0.0002478","0.02833","0.001495","0.009942","9.899E-06","0.04002","0.03978","0.02199","C"
"4","0.0001396","0.02364","0.0009832","0.01473","4.035E-05","0.03954","0.0394","0.02321","C"
"5","8.937E-05","0.02042","0.0007233","0.01879","8.031E-05","0.0401","0.04001","0.02463","C"
"6","6.206E-05","0.01805","0.0005682","0.02227","0.0001232","0.04108","0.04102","0.02598","C"
"7","4.563E-05","0.01623","0.0004663","0.02535","0.0001658","0.04226","0.04221","0.02721","I"
"8","3.493E-05","0.01477","0.0003946","0.02812","0.000207","0.04352","0.04349","0.02832","C"
"9","2.76E-05","0.01358","0.0003416","0.03063","0.0002463","0.04482","0.04479","0.02928","I"
"10","2.235E-05","0.01258","0.0003009","0.03294","0.0002837","0.04612","0.0461","0.03016","C"
"11","1.848E-05","0.01174","0.0002687","0.03507","0.000319","0.04741","0.04739","0.03082","I"
"12","1.552E-05","0.011","0.0002426","0.03704","0.0003522","0.04865","0.04864","0.03143","I"
"13","1.323E-05","0.01037","0.0002211","0.03889","0.0003836","0.04988","0.04986","0.032","I"
"14","1.141E-05","0.009807","0.000203","0.04064","0.0004132","0.05107","0.05106","0.03254","I"
"15","9.939E-06","0.009311","0.0001876","0.04221","0.0004413","0.05216","0.05215","0.03305","C"
"16","8.734E-06","0.008869","0.0001744","0.0437","0.0004681","0.05322","0.05322","0.03331","I"
"18","6.901E-06","0.008106","0.0001528","0.04641","0.0005172","0.0552","0.05519","0.0338","I"
"20","5.59E-06","0.007475","0.0001359","0.0488","0.0005622","0.05698","0.05698","0.03424","C"
"22","4.62E-06","0.006941","0.0001223","0.05098","0.0006032","0.05865","0.05864","",""
"24","3.882E-06","0.006488","0.0001112","0.05297","0.0006406","0.06022","0.06021","",""
"26","3.308E-06","0.006092","0.000102","0.05476","0.0006752","0.06163","0.06162","",""
"28","2.852E-06","0.005746","9.411E-05","0.05643","0.0007073","0.06298","0.06298","",""
"30","2.485E-06","0.00544","8.737E-05","0.05796","0.0007368","0.06423","0.06423","",""
"40","1.398E-06","0.004324","6.434E-05","0.0642","0.0008595","0.06945","0.06945","",""
"50","8.944E-07","0.003611","5.091E-05","0.06884","0.0009518","0.07345","0.07345","",""
"60","6.21E-07","0.00311","4.21E-05","0.07244","0.001025","0.07661","0.07661","",""
"80","3.494E-07","0.002453","3.127E-05","0.07775","0.001133","0.08137","0.08136","",""
"100","2.236E-07","0.002036","2.487E-05","0.08149","0.001212","0.08476","0.08476","",""
"150","9.939E-08","0.00145","1.646E-05","0.08741","0.001341","0.09022","0.09022","",""
"200","5.59E-08","0.001137","1.229E-05","0.0909","0.001421","0.09347","0.09347","",""
"300","2.485E-08","0.0008056","8.163E-06","0.095","0.001518","0.09733","0.09733","",""
"400","1.397E-08","0.000631","6.11E-06","0.09732","0.001576","0.09953","0.09953","",""
"500","8.944E-09","0.0005222","4.884E-06","0.09885","0.001616","0.101","0.101","",""
"600","6.21E-09","0.0004474","4.067E-06","0.09996","0.001644","0.1021","0.1021","",""
"800","3.494E-09","0.0003493","3.047E-06","0.1014","0.001684","0.1035","0.1035","",""
"1000","2.236E-09","0.0002874","2.436E-06","0.1023","0.001711","0.1043","0.1043","",""
"1500","9.939E-10","0.0002007","1.623E-06","0.1037","0.00175","0.1057","0.1057","",""
"2000","5.59E-10","0.0001553","1.217E-06","0.1044","0.001772","0.1064","0.1064","",""
"3000","2.485E-10","0.000108","8.106E-07","0.1052","0.001797","0.1071","0.1071","",""
"4000","1.397E-10","8.334E-05","6.078E-07","0.1057","0.001811","0.1076","0.1076","",""
"5000","8.944E-11","6.816E-05","4.862E-07","0.1059","0.00182","0.1078","0.1078","",""
"6000","6.21E-11","5.779E-05","4.053E-07","0.1061","0.001826","0.108","0.108","",""
"8000","3.494E-11","4.452E-05","3.039E-07","0.1064","0.001834","0.1083","0.1083","",""
"10000","2.236E-11","3.636E-05","2.431E-07","0.1065","0.001839","0.1084","0.1084","",""
"15000","9.939E-12","2.512E-05","1.621E-07","0.1068","0.001846","0.1086","0.1086","",""
"20000","5.59E-12","1.932E-05","1.215E-07","0.1069","0.00185","0.1087","0.1087","",""
"30000","2.485E-12","1.332E-05","8.103E-08","0.107","0.001854","0.1088","0.1088","",""
"40000","1.397E-12","1.023E-05","6.074E-08","0.1071","0.001857","0.1089","0.1089","",""
"50000","8.944E-13","8.327E-06","4.862E-08","0.1071","0.001858","0.109","0.109","",""
"60000","6.21E-13","7.04E-06","4.05E-08","0.1071","0.001859","0.109","0.109","",""
